Node,Node type,Lat,Lon,Weight 1,Edge1,Edge1 Name,Type,Weight 2,Edge2,Edge2 Name,Type,Weight 3,Edge3,Edge3 Name,Type,Weight 4,Edge4,Edge4 Name,Type,Weight 5,Edge5,Edge5 Name,Type
SAM KEE LRT STATION[PW1],LRT,1.4097076,103.904874,562,PUNGGOL MRT STATION[NE17],WEST LOOP (CLOCKWISE),LRT,944,PUNGGOL POINT LRT STATION[PW3],WEST LOOP (ANTI CLOCKWISE),LRT,,,,,,,,,,,,
194 PUNGGOL ROAD MULTI STOREY CAR PARK SINGAPORE 820194,HDB,1.4020243,103.9065241,110,OPP BLK 296 (65089),walking,walk,,,,,,,,,,,,,,,,
195 PUNGGOL ROAD THE PERIWINKLE SINGAPORE 820195,HDB,1.4014705,103.9067023,100,OPP BLK 296 (65089),walking,walk,,,,,,,,,,,,,,,,
305 PUNGGOL ROAD TREELODGE@PUNGGOL SINGAPORE 820305,HDB,1.4059045,103.9062858,173,PUNGGOL VIEW PR SCH (65351),walking,walk,184,BLK 604A (65099),walking,walk,,,,,,,,,,,,
603 PUNGGOL ROAD PUNGGOL LODGE SINGAPORE 820603,HDB,1.4038676,103.9079914,118,BLK 604A (65099),walking,walk,160,BLK 301A (65091),walking,walk,,,,,,,,,,,,
604 PUNGGOL ROAD PUNGGOL LODGE SINGAPORE 820604,HDB,1.4041556,103.9076825,72,BLK 604A (65099),walking,walk,126,BLK 301A (65091),walking,walk,,,,,,,,,,,,
195A PUNGGOL ROAD THE PERIWINKLE SINGAPORE 821195,HDB,1.4013869,103.9060812,31,OPP BLK 296 (65089),walking,walk,100,OPP BLK 199C (65081),walking,walk,,,,,,,,,,,,
305A PUNGGOL ROAD TREELODGE@PUNGGOL SINGAPORE 821305,HDB,1.4050791,103.906706,81,BLK 604A (65099),walking,walk,123,BLK 301A (65091),walking,walk,,,,,,,,,,,,
603A PUNGGOL ROAD PUNGGOL LODGE SINGAPORE 821603,HDB,1.4035301,103.9084634,182,BLK 604A (65099),walking,walk,,,,,,,,,,,,,,,,
604A PUNGGOL ROAD PUNGGOL LODGE SINGAPORE 821604,HDB,1.4043097,103.9074126,37,BLK 604A (65099),walking,walk,102,BLK 301A (65091),walking,walk,,,,,,,,,,,,
195B PUNGGOL ROAD THE PERIWINKLE SINGAPORE 822195,HDB,1.401372,103.9064857,75,OPP BLK 296 (65089),walking,walk,139,OPP BLK 199C (65081),walking,walk,,,,,,,,,,,,
305B PUNGGOL ROAD TREELODGE@PUNGGOL SINGAPORE 822305,HDB,1.4053519,103.9062507,137,BLK 604A (65099),walking,walk,156,BLK 301A (65091),walking,walk,179,PUNGGOL VIEW PR SCH (65351),walking,walk,,,,,,,,
